year,team,coach,sport,Jersey,Player,Yr,Pos,GP,GS,Games,Goals,Assists,Points,ShAtt,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,GAA,Saves,SV Pct,Shutouts,Combined Sho,G Wins,G Loss,DSaves,Corners,PK,PK Att,GWG
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,13,"Rondin, Abriana",Fr,F,18,,,1,1.00,3.00,11,4,,,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,13,"Rondin, Abriana",Fr,F,18,,,1,1.00,3.00,11,4,,,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,5,"Welch, Lily",Fr,M,18,,,1,,2.00,4,,,,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,5,"Welch, Lily",Fr,M,18,,,1,,2.00,4,,,,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,4,"Sizer, Marcella",Fr,F,18,,,5,3.00,13.00,33,4,,3,,,,,,,,,,,,,,,1,1,1
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,4,"Sizer, Marcella",Fr,F,18,,,5,3.00,13.00,33,4,,3,,,,,,,,,,,,,,,1,1,1
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,33,"Roman, Addie",Fr,F,18,,,3,,6.00,17,1,,,,,,,,,,,,,,,,,,,1
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,33,"Roman, Addie",Fr,F,18,,,3,,6.00,17,1,,,,,,,,,,,,,,,,,,,1
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,9,"Pampus, Kendra",Fr,D,18,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,9,"Pampus, Kendra",Fr,D,18,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,2,"LaVigna, Rega",Fr,F,18,,,1,4.00,6.00,31,5,,,,,,,,,,,,,,,,,,,1
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,2,"LaVigna, Rega",Fr,F,18,,,1,4.00,6.00,31,5,,,,,,,,,,,,,,,,,,,1
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,19,"Rasile, Bethany",So,D,18,,,,1.00,1.00,4,,,,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,19,"Rasile, Bethany",So,D,18,,,,1.00,1.00,4,,,,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,24,"Prokopchak, Laurel",So,M,18,,,,,0.00,5,4,,1,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,24,"Prokopchak, Laurel",So,M,18,,,,,0.00,5,4,,1,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,23,"Evans, Jorda",So,M,17,,,,,0.00,3,1,,,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,23,"Evans, Jorda",So,M,17,,,,,0.00,3,1,,,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,8,"Harper, Kyla",Fr,M,17,,,,,0.00,6,1,,,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,8,"Harper, Kyla",Fr,M,17,,,,,0.00,6,1,,,,,,,,,,,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,11,"Winkler, Ellery",Fr,F,16,,,7,6.00,20.00,51,6,,,,,,,,,,,,,,,,,,,2
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,11,"Winkler, Ellery",Fr,F,16,,,7,6.00,20.00,51,6,,,,,,,,,,,,,,,,,,,2
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,18,"Mustard, Mikalya",Fr,D,17,,,,,0.00,1,3,,1,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,18,"Mustard, Mikalya",Fr,D,17,,,,,0.00,1,3,,1,,,,,,,,,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,21,"Laureano, Chloe",Fr,M,16,,,2,4.00,8.00,20,2,,,,,,,,,,,,,,,,,,,2
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,21,"Laureano, Chloe",Fr,M,16,,,2,4.00,8.00,20,2,,,,,,,,,,,,,,,,,,,2
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,6,"Murvin, Larse",Sr,D,16,,,,,0.00,3,4,,,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,6,"Murvin, Larse",Sr,D,16,,,,,0.00,3,4,,,,,,,,,,,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,18,"Yin, Emily",So,F,16,,,1,4.00,6.00,5,1,,,,,,,,,,,,,,,,,,,1
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,18,"Yin, Emily",So,F,16,,,1,4.00,6.00,5,1,,,,,,,,,,,,,,,,,,,1
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,1,"Salatino, Sammy",Jr,M,16,,,,1.00,1.00,4,1,,,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,1,"Salatino, Sammy",Jr,M,16,,,,1.00,1.00,4,1,,,,,,,,,,,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,5,"Clorite, Emily",So,M,16,,,,,0.00,3,8,,1,,,,,,,,,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,5,"Clorite, Emily",So,M,16,,,,,0.00,3,8,,1,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,15,"Polnow, Olivia",Fr,M,16,,,,,0.00,3,,,,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,15,"Polnow, Olivia",Fr,M,16,,,,,0.00,3,,,,,,,,,,,,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,15,"Shaw, Lydia",Jr,F,16,,,3,5.00,11.00,48,8,,1,,,,,,,,,,,,,,,,,1
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,15,"Shaw, Lydia",Jr,F,16,,,3,5.00,11.00,48,8,,1,,,,,,,,,,,,,,,,,1
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,29,"McEachern, Kate",Jr,GK,15,,,,,0.00,,,,,,11,10,1385:51,31,2.013,94,0.752,3,,3,11,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,29,"McEachern, Kate",Jr,GK,15,,,,,0.00,,,,,,11,10,1385:51,31,2.013,94,0.752,3,,3,11,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,13,"McCraven, Alexandra",Jr,F,16,,,,1.00,1.00,4,11,,1,,,,,,,,,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,13,"McCraven, Alexandra",Jr,F,16,,,,1.00,1.00,4,11,,1,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,17,"Ossege, Sydney",Jr,M,14,,,,,0.00,6,2,,1,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,17,"Ossege, Sydney",Jr,M,14,,,,,0.00,6,2,,1,,,,,,,,,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,3,"Grillo, Mia",Jr,F,16,,,1,4.00,6.00,15,4,,,,,,,,,,,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,3,"Grillo, Mia",Jr,F,16,,,1,4.00,6.00,15,4,,,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,27,"Costa-Correia, Raquel",So,M,11,,,1,,2.00,6,3,,,,,,,,,,,,,,,,,,,1
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,27,"Costa-Correia, Raquel",So,M,11,,,1,,2.00,6,3,,,,,,,,,,,,,,,,,,,1
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,20,"Enriquez, Kriste",Jr,D,16,,,,,0.00,2,3,,1,,,,,,,,,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,20,"Enriquez, Kriste",Jr,D,16,,,,,0.00,2,3,,1,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,21,"Dolak, Laure",So,D,11,,,,,0.00,2,1,,,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,21,"Dolak, Laure",So,D,11,,,,,0.00,2,1,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,27,"Richards, Jackie",Fr,,23,,,3,1.00,7.00,21,4,,,,,,,,,,,,,,,,,,,1
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,27,"Richards, Jackie",Fr,,23,,,3,1.00,7.00,21,4,,,,,,,,,,,,,,,,,,,1
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,33,"Chavarin, Aerial",Sr,F,16,,,8,1.00,17.00,38,10,,3,,,,,,,,,,,,,,,1,1,2
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,33,"Chavarin, Aerial",Sr,F,16,,,8,1.00,17.00,38,10,,3,,,,,,,,,,,,,,,1,1,2
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,11,"Neal, Alexandra",Jr,D,9,,,,,0.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,11,"Neal, Alexandra",Jr,D,9,,,,,0.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,21,"Dewey, Samantha",Sr,,23,,,13,4.00,30.00,80,12,,3,,,,,,,,,,,,,,,,1,4
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,21,"Dewey, Samantha",Sr,,23,,,13,4.00,30.00,80,12,,3,,,,,,,,,,,,,,,,1,4
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,1,"Fagel, Alyssa",Sr,GK,16,,,,,0.00,,,,,,11,11,1462:11,14,0.862,46,0.767,5,1,11,3,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,1,"Fagel, Alyssa",Sr,GK,16,,,,,0.00,,,,,,11,11,1462:11,14,0.862,46,0.767,5,1,11,3,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,10,"Snow, Laure",So,M,7,,,,1.00,1.00,2,1,1,1,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,10,"Snow, Laure",So,M,7,,,,1.00,1.00,2,1,1,1,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,18,"Burton, Emily",Jr,,23,,,1,2.00,4.00,8,4,,1,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,18,"Burton, Emily",Jr,,23,,,1,2.00,4.00,8,4,,1,,,,,,,,,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,6,"Higginson, Noelle",Sr,M,16,,,5,2.00,12.00,24,5,,,,,,,,,,,,,,,,,,,3
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,6,"Higginson, Noelle",Sr,M,16,,,5,2.00,12.00,24,5,,,,,,,,,,,,,,,,,,,3
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,20,"Watkins, Michaela",Fr,F,5,,,,,0.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,20,"Watkins, Michaela",Fr,F,5,,,,,0.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,22,"Schembri, Sydney",Jr,,23,,,2,2.00,6.00,13,3,,,,,,,,,,,,,,,,,,,1
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,22,"Schembri, Sydney",Jr,,23,,,2,2.00,6.00,13,3,,,,,,,,,,,,,,,,,,,1
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,22,"Bonta, Reina",Jr,M,16,,,1,,2.00,13,1,,1,,,,,,,,,,,,,,,,1,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,22,"Bonta, Reina",Jr,M,16,,,1,,2.00,13,1,,1,,,,,,,,,,,,,,,,1,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,0,"Jivraj, Zeeyana",So,GK,3,,,,,0.00,,,,,,3,3,270:00,8,2.667,18,0.692,,,1,2,,,,,
2019-20,Youngstown St. Penguins,Brian Shrum,Women's Soccer,0,"Jivraj, Zeeyana",So,GK,3,,,,,0.00,,,,,,3,3,270:00,8,2.667,18,0.692,,,1,2,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,5,"Jakovich, Hayley",So,,23,,,2,3.00,7.00,11,3,,2,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,5,"Jakovich, Hayley",So,,23,,,2,3.00,7.00,11,3,,2,,,,,,,,,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,10,"Jordan, Sarah",Jr,M,14,,,2,,4.00,15,2,,1,,,,,,,,,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,10,"Jordan, Sarah",Jr,M,14,,,2,,4.00,15,2,,1,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,29,"Sroka, Brooke",So,,23,,,6,2.00,14.00,33,7,,,,,,,,,,,,,,,,,,,2
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,29,"Sroka, Brooke",So,,23,,,6,2.00,14.00,33,7,,,,,,,,,,,,,,,,,,,2
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,19,"Brar, Saje",So,F,14,,,1,1.00,3.00,4,,,,,,,,,,,,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,19,"Brar, Saje",So,F,14,,,1,1.00,3.00,4,,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,10,"Lankford, Courtney",Sr,,23,,,,1.00,1.00,8,2,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,10,"Lankford, Courtney",Sr,,23,,,,1.00,1.00,8,2,,,,,,,,,,,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,7,"Pittaro, Giana",So,D,9,,,,,0.00,2,,,,,,,,,,,,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,7,"Pittaro, Giana",So,D,9,,,,,0.00,2,,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,8,"Bahr, Grace",Sr,,23,,,2,8.00,12.00,22,5,,4,,,,,,,,,,,,,,,1,1,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,8,"Bahr, Grace",Sr,,23,,,2,8.00,12.00,22,5,,4,,,,,,,,,,,,,,,1,1,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,12,"Wharton, Kristi",Sr,M,8,,,,,0.00,4,2,,1,,,,,,,,,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,12,"Wharton, Kristi",Sr,M,8,,,,,0.00,4,2,,1,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,7,"Thiss, Maddie",Fr,,22,,,1,,2.00,14,8,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,7,"Thiss, Maddie",Fr,,22,,,1,,2.00,14,8,,,,,,,,,,,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,00,"Eligon, Simone",Fr,GK,1,,,,,0.00,,,,,,1,,27:05,0,0.000,1,1.000,,,,,,,,,
2019-20,Yale Bulldogs,Brendan Faherty,Women's Soccer,00,"Eligon, Simone",Fr,GK,1,,,,,0.00,,,,,,1,,27:05,0,0.000,1,1.000,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,2,"LoPresti, Gabrielle",Jr,,22,,,2,3.00,7.00,24,6,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,2,"LoPresti, Gabrielle",Jr,,22,,,2,3.00,7.00,24,6,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,9,"Miller, Jessica",Sr,,21,,,,1.00,1.00,10,4,,1,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,9,"Miller, Jessica",Sr,,21,,,,1.00,1.00,10,4,,1,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,15,"Harper, Macy",Fr,,21,,,,,0.00,11,5,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,15,"Harper, Macy",Fr,,21,,,,,0.00,11,5,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,13,"Lewis, Carrie",Jr,,20,,,2,8.00,12.00,23,8,,3,,,,,,,,,,,,,,,,,2
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,13,"Lewis, Carrie",Jr,,20,,,2,8.00,12.00,23,8,,3,,,,,,,,,,,,,,,,,2
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,20,"Brauer, Grace",So,,20,,,1,1.00,3.00,2,3,,,,,,,,,,,,,,,,,,,1
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,20,"Brauer, Grace",So,,20,,,1,1.00,3.00,2,3,,,,,,,,,,,,,,,,,,,1
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,3,"McLaughlin, Molly",So,,19,,,4,1.00,9.00,36,11,,2,,,,,,,,,,,,,,,,,2
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,3,"McLaughlin, Molly",So,,19,,,4,1.00,9.00,36,11,,2,,,,,,,,,,,,,,,,,2
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,12,"Dewey, Rachel",So,,18,,,,2.00,2.00,7,5,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,12,"Dewey, Rachel",So,,18,,,,2.00,2.00,7,5,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,33,"Butler, Rachel",So,,18,,,1,,2.00,9,7,,,,,,,,,,,,,,,,,,,1
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,33,"Butler, Rachel",So,,18,,,1,,2.00,9,7,,,,,,,,,,,,,,,,,,,1
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,26,"Anderson, Allie",Fr,,16,,,,1.00,1.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,26,"Anderson, Allie",Fr,,16,,,,1.00,1.00,1,,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,28,"Rogers, Halle",Fr,,13,,,,1.00,1.00,,,,2,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,28,"Rogers, Halle",Fr,,13,,,,1.00,1.00,,,,2,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,11,"Prathapa, Jenna",Jr,,13,,,3,1.00,7.00,9,3,,,,,,,,,,,,,,,,,,,3
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,11,"Prathapa, Jenna",Jr,,13,,,3,1.00,7.00,9,3,,,,,,,,,,,,,,,,,,,3
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,1,"Bizzarro, Toni",Sr,GK,12,,,,,0.00,,,,,,7,7,1024:36,8,0.703,42,0.840,6,1,7,2,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,1,"Bizzarro, Toni",Sr,GK,12,,,,,0.00,,,,,,7,7,1024:36,8,0.703,42,0.840,6,1,7,2,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,0,"Jenkins, Olivia",So,GK,11,,,,,0.00,,,,1,,6,5,1025:17,9,0.790,27,0.750,5,1,8,2,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,0,"Jenkins, Olivia",So,GK,11,,,,,0.00,,,,1,,6,5,1025:17,9,0.790,27,0.750,5,1,8,2,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,24,"Eck, Raechel",Sr,,10,,,,,0.00,1,,,1,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,24,"Eck, Raechel",Sr,,10,,,,,0.00,1,,,1,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,19,"Kunimoto, Sabrina",Jr,,7,,,,,0.00,1,1,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,19,"Kunimoto, Sabrina",Jr,,7,,,,,0.00,1,1,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,32,"Schaefer, McKenna",Fr,,7,,,,,0.00,,1,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,32,"Schaefer, McKenna",Fr,,7,,,,,0.00,,1,,,,,,,,,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,30,"Welsh, Caroline",So,,1,,,,,0.00,,,,,,1,,4:27,0,0.000,,,,,,,,,,,
2019-20,Xavier Musketeers,Nate Lie,Women's Soccer,30,"Welsh, Caroline",So,,1,,,,,0.00,,,,,,1,,4:27,0,0.000,,,,,,,,,,,
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,19,"Wortmann, Keelie",Fr,,19,,19,2,2.00,6.00,14,10,,1,,,,,0,,,,,,,,,,,,
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,19,"Wortmann, Keelie",Fr,,19,,19,2,2.00,6.00,14,10,,1,,,,,0,,,,,,,,,,,,
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,23,"Miller, Sydney",Fr,,19,,19,,,0.00,5,4,,,,,,,0,,,,,,,,,,,,
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,23,"Miller, Sydney",Fr,,19,,19,,,0.00,5,4,,,,,,,0,,,,,,,,,,,,
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,33,"Hagen, Hannah",Fr,,19,,19,1,,2.00,9,7,,1,,,,,0,,,,,,,,,,,,
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,33,"Hagen, Hannah",Fr,,19,,19,1,,2.00,9,7,,1,,,,,0,,,,,,,,,,,,
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,13,"Asimus, Indianna",So,,19,,19,6,1.00,13.00,29,4,,,,,,,0,,,,,,,,,,,,1
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,13,"Asimus, Indianna",So,,19,,19,6,1.00,13.00,29,4,,,,,,,0,,,,,,,,,,,,1
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,2,"Tatum, Jamie",Fr,,19,,19,6,1.00,13.00,54,8,,1,,,,,0,,,,,,,,,,,,2
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,2,"Tatum, Jamie",Fr,,19,,19,6,1.00,13.00,54,8,,1,,,,,0,,,,,,,,,,,,2
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,1,"Lee, Hannah",So,,19,,19,,,0.00,,,,,,12,12,1153:22,17,1.327,59,0.776,,3,5,3,,,,,
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,1,"Lee, Hannah",So,,19,,19,,,0.00,,,,,,12,12,1153:22,17,1.327,59,0.776,,3,5,3,,,,,
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,25,"Vokoun, Amber",So,,19,,19,2,3.00,7.00,11,4,,1,,,,,0,,,,,,,,,,,,
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,25,"Vokoun, Amber",So,,19,,19,2,3.00,7.00,11,4,,1,,,,,0,,,,,,,,,,,,
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,10,"Schomer, Kennedy",So,,19,,19,,,0.00,2,,,1,,,,,0,,,,,,,,,,,,
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,10,"Schomer, Kennedy",So,,19,,19,,,0.00,2,,,1,,,,,0,,,,,,,,,,,,
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,15,"Webber, Elaine",Jr,,19,,19,,2.00,2.00,1,8,,2,,,,,0,,,,,,,,,,,,
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,15,"Webber, Elaine",Jr,,19,,19,,2.00,2.00,1,8,,2,,,,,0,,,,,,,,,,,,
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,4,"Taube, Summer",Sr,,18,,18,5,,10.00,21,11,,1,,,,,0,,,,,,,,,,,,1
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,4,"Taube, Summer",Sr,,18,,18,5,,10.00,21,11,,1,,,,,0,,,,,,,,,,,,1
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,24,"Stark, Michaela",Sr,,18,,18,4,3.00,11.00,33,7,1,,,,,,0,,,,,,,,,,,,2
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,24,"Stark, Michaela",Sr,,18,,18,4,3.00,11.00,33,7,1,,,,,,0,,,,,,,,,,,,2
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,17,"Allen, Maria",Fr,,18,,18,,2.00,2.00,9,3,,,,,,,0,,,,,,,,,,,,
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,17,"Allen, Maria",Fr,,18,,18,,2.00,2.00,9,3,,,,,,,0,,,,,,,,,,,,
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,5,"Warner, Savannah",So,,17,,17,3,1.00,7.00,10,2,,1,,,,,0,,,,,,,,,,1,2,1
2019-20,Wyoming Cowgirls,Pete Cuadrado,Women's Soccer,5,"Warner, Savannah",So,,17,,17,3,1.00,7.00,10,2,,1,,,,,0,,,,,,,,,,1,2,1
2019-20,Wright St. Raiders,Pat Ferguson,Women's Soccer,0,"Seward, Jessika",Fr,GK,,,,,,0.00,,,,,,,,,1,,,,,,,,,,,,
2019-20,Wright St. Raiders,Pat Ferguson,Women's Soccer,0,"Seward, Jessika",Fr,GK,,,,,,0.00,,,,,,,,,1,,,,,,,,,,,,
